epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1808.11,1.02903,0.69694,0.89963,0.99775,0.99953,0.995,0.73644,0.94327,0.50253,0.87657,4.36135e-05,4.36135e-05,4.36135e-05
68,1836.15,1.02969,0.70501,0.89923,0.9974,0.99949,0.995,0.73361,0.95023,0.49731,0.8776,4.06683e-05,4.06683e-05,4.06683e-05
69,1862.38,1.03062,0.70434,0.90172,0.99759,0.99939,0.995,0.73748,0.93913,0.49339,0.87638,3.7723e-05,3.7723e-05,3.7723e-05
70,1889.55,1.02691,0.69612,0.89835,0.99785,0.99923,0.995,0.73708,0.93668,0.49371,0.87599,3.47777e-05,3.47777e-05,3.47777e-05
71,1919.86,0.98632,0.61693,0.89144,0.99739,0.9995,0.995,0.73133,0.9543,0.49805,0.87712,3.18325e-05,3.18325e-05,3.18325e-05
72,1944.86,0.97744,0.58747,0.88695,0.99704,0.99849,0.995,0.73376,0.94491,0.50271,0.87267,2.88873e-05,2.88873e-05,2.88873e-05
73,1970.56,0.97642,0.58838,0.88563,0.99755,0.99915,0.995,0.72949,0.95587,0.49972,0.87535,2.5942e-05,2.5942e-05,2.5942e-05
74,1995.38,0.97622,0.59884,0.88783,0.99774,0.99937,0.995,0.73479,0.93851,0.49663,0.87244,2.29968e-05,2.29968e-05,2.29968e-05
75,2021.38,0.97454,0.60678,0.88671,0.99785,0.99901,0.995,0.73347,0.93931,0.49787,0.87254,2.00515e-05,2.00515e-05,2.00515e-05
76,2046.22,0.97127,0.58847,0.8868,0.99782,0.99942,0.995,0.73334,0.93611,0.49452,0.87112,1.71062e-05,1.71062e-05,1.71062e-05
77,2072.4,0.96549,0.57996,0.88419,0.99783,0.99967,0.995,0.736,0.93699,0.49134,0.87129,1.4161e-05,1.4161e-05,1.4161e-05
78,2107.31,0.96801,0.58211,0.88524,0.99773,0.99969,0.995,0.73571,0.93173,0.48941,0.87031,1.12157e-05,1.12157e-05,1.12157e-05
79,2139.77,0.97078,0.58052,0.88945,0.99782,0.99959,0.995,0.73718,0.93085,0.48784,0.87133,8.2705e-06,8.2705e-06,8.2705e-06
80,2166.47,0.96197,0.57261,0.88729,0.99776,0.99966,0.995,0.7362,0.93147,0.48718,0.87144,5.32525e-06,5.32525e-06,5.32525e-06
